"SUBJECT" "DIET" "SEQUENCE" "y.Actinobacteria" "y.Bacteroidetes" "y.Firmicutes" "y.Fusobacteria" "y.Proteobacteria" "y.OTHER"
"Acorn" "BASE" "ACB" 1.896691e-02 2.330105e-01 4.183212e-01 2.799839e-01 4.923325e-02 4.842615e-04
"Acorn" "HYPO" "ACB" 1.614205e-02 4.269572e-01 3.021792e-01 2.012107e-01 5.270379e-02 8.071026e-04
"Acorn" "WASHOUT" "ACB" 1.557708e-02 5.181598e-02 4.581921e-01 4.122680e-01 6.174334e-02 4.035513e-04
"Acorn" "FIBRE" "ACB" 1.103309e-01 2.736885e-01 3.543987e-01 1.369653e-01 1.238902e-01 7.263923e-04
"alphabet" "BASE" "ACB" 1.380145e-02 2.072639e-01 2.535109e-01 4.435835e-01 8.046812e-02 1.372074e-03
"alphabet" "HYPO" "ACB" 4.955609e-02 3.139629e-02 7.849879e-01 1.066182e-01 2.703793e-02 4.035512e-04
"alphabet" "WASHOUT" "ACB" 2.332526e-02 9.039548e-03 4.509282e-01 4.351090e-01 8.127522e-02 3.228410e-04
"alphabet" "FIBRE" "ACB" 2.447135e-01 7.183212e-03 6.009685e-01 4.051655e-02 1.065375e-01 8.071033e-05
"amber" "BASE" "ACB" 3.066989e-03 4.129136e-01 2.581921e-01 2.734463e-01 5.157385e-02 8.071025e-04
"amber" "HYPO" "ACB" 1.759483e-02 2.736077e-01 3.411622e-01 2.887006e-01 7.845036e-02 4.842616e-04
"amber" "WASHOUT" "ACB" 8.474576e-03 6.214689e-03 5.335755e-01 4.289750e-01 2.259887e-02 1.614205e-04
"amber" "FIBRE" "ACB" 1.654560e-02 4.648910e-02 8.601291e-01 2.017756e-02 5.593220e-02 7.263922e-04
"amigo" "BASE" "ACB" 7.828894e-03 2.995964e-01 2.588378e-01 3.816788e-01 5.197740e-02 8.071035e-05
"amigo" "HYPO" "ACB" 1.727199e-02 3.985472e-01 3.013721e-01 1.952381e-01 8.668281e-02 8.878127e-04
"amigo" "WASHOUT" "ACB" 9.685230e-03 4.439064e-03 9.064568e-01 6.432607e-02 1.460856e-02 4.842615e-04
"amigo" "FIBRE" "ACB" 1.614205e-02 2.253430e-01 6.634383e-01 7.102502e-02 2.397094e-02 8.071031e-05
"anqor" "BASE" "ACB" 1.404358e-02 2.401130e-01 4.061340e-01 2.765133e-01 6.214689e-02 1.049233e-03
"anqor" "HYPO" "ACB" 1.864407e-02 2.224374e-01 5.589185e-01 1.483454e-01 5.133172e-02 3.228410e-04
"anqor" "WASHOUT" "ACB" 5.084746e-02 9.394673e-02 5.546408e-01 1.556901e-01 1.427764e-01 2.098467e-03
"anqor" "FIBRE" "ACB" 1.783697e-02 1.414044e-01 7.462470e-01 7.239709e-02 2.187248e-02 2.421308e-04
"ascot" "BASE" "ACB" 2.582728e-03 4.916868e-01 2.228410e-01 2.032284e-01 7.732042e-02 2.340597e-03
"ascot" "HYPO" "ACB" 1.824052e-02 2.090395e-01 5.002421e-01 2.364810e-01 3.575464e-02 2.421308e-04
"ascot" "WASHOUT" "ACB" 1.073446e-02 2.655367e-02 7.749798e-01 1.016142e-01 8.506860e-02 1.049233e-03
"ascot" "FIBRE" "ACB" 2.072639e-01 4.439064e-03 6.631154e-01 6.029056e-02 6.472962e-02 1.614205e-04
"bachelor" "BASE" "ACB" 4.761905e-03 4.115416e-01 3.334948e-01 1.719128e-01 7.818894e-02 1.000000e-04
"bachelor" "HYPO" "ACB" 9.039548e-03 9.443099e-03 8.322034e-01 7.586764e-02 7.312349e-02 3.228410e-04
"bachelor" "WASHOUT" "ACB" 2.050040e-02 3.228410e-03 8.776433e-01 8.038741e-02 1.799839e-02 2.421309e-04
"bachelor" "FIBRE" "ACB" 1.052462e-01 9.023406e-02 7.135593e-01 1.525424e-02 7.562550e-02 8.071025e-05
"bandit" "BASE" "ACB" 2.276029e-02 1.019370e-01 5.292978e-01 2.986279e-01 4.673123e-02 6.456820e-04
"bandit" "HYPO" "ACB" 2.195319e-02 7.183212e-03 9.455206e-01 1.622276e-02 8.878128e-03 2.421308e-04
"bandit" "WASHOUT" "ACB" 4.196933e-03 4.334140e-02 1.945117e-01 7.271186e-01 3.034705e-02 4.842616e-04
"bandit" "FIBRE" "ACB" 1.614205e-02 1.284907e-01 4.163035e-01 7.223567e-02 3.664245e-01 4.035513e-04
"banjo" "BASE" "ACB" 5.754641e-02 1.884584e-01 4.659403e-01 2.607748e-01 2.703793e-02 2.421308e-04
"banjo" "HYPO" "ACB" 4.479419e-02 2.352704e-01 4.899919e-01 1.913640e-01 3.833737e-02 2.421308e-04
"banjo" "WASHOUT" "ACB" 3.954802e-03 4.923325e-03 2.455206e-01 3.673123e-01 3.781275e-01 1.614205e-04
"banjo" "FIBRE" "ACB" 1.702986e-02 1.794189e-01 7.446328e-01 3.204197e-02 2.647296e-02 4.035512e-04
"barman" "BASE" "ACB" 1.662631e-02 1.723164e-01 5.062147e-01 2.724778e-01 3.196126e-02 4.035513e-04
"barman" "HYPO" "ACB" 2.372881e-02 7.909605e-03 9.086360e-01 4.221146e-02 1.735270e-02 1.614206e-04
"barman" "WASHOUT" "ACB" 2.017756e-02 3.220339e-02 6.668281e-01 2.635190e-01 1.711057e-02 1.614205e-04
"barman" "FIBRE" "ACB" 1.241324e-01 1.630347e-01 6.532688e-01 2.663438e-02 3.260694e-02 3.228410e-04
"beach boy" "BASE" "ACB" 2.824859e-03 4.359161e-01 2.291364e-01 2.154157e-01 1.165456e-01 1.614206e-04
"beach boy" "HYPO" "ACB" 5.246166e-02 1.616626e-01 4.855529e-01 2.640032e-01 3.599677e-02 3.228411e-04
"beach boy" "WASHOUT" "ACB" 1.452785e-02 2.343019e-01 3.475383e-01 2.083939e-01 1.946731e-01 5.649718e-04
"beach boy" "FIBRE" "ACB" 1.912833e-02 7.489911e-02 8.434221e-01 3.809524e-02 2.413236e-02 3.228411e-04
"beauty" "BASE" "ACB" 1.767554e-02 1.635190e-01 6.207425e-01 1.654560e-01 3.204197e-02 5.649718e-04
"beauty" "HYPO" "ACB" 1.824052e-02 1.582728e-01 6.059726e-01 1.676352e-01 4.979822e-02 8.071029e-05
"beauty" "WASHOUT" "ACB" 5.488297e-03 9.717514e-02 4.692494e-01 3.160613e-01 1.112994e-01 7.263923e-04
"beauty" "FIBRE" "ACB" 1.509282e-01 1.802260e-01 6.262308e-01 1.251009e-02 2.986279e-02 2.421308e-04
"bedlam" "BASE" "ACB" 3.631961e-03 4.791768e-01 2.702986e-01 1.637611e-01 8.305085e-02 8.071028e-05
"bedlam" "HYPO" "ACB" 1.380145e-02 3.019370e-01 3.973366e-01 2.295400e-01 5.673931e-02 6.456820e-04
"bedlam" "WASHOUT" "ACB" 4.067797e-02 7.263923e-03 7.807103e-01 1.598063e-01 1.033091e-02 1.210654e-03
"bedlam" "FIBRE" "ACB" 2.117837e-01 1.751412e-02 6.603713e-01 9.765940e-03 1.004650e-01 1.000000e-04
"blackprint" "BASE" "ACB" 2.292171e-02 1.343826e-01 5.539952e-01 2.594027e-01 2.889427e-02 4.035513e-04
"blackprint" "HYPO" "ACB" 1.589992e-02 3.002421e-01 3.609362e-01 2.386602e-01 8.305085e-02 1.210654e-03
"blackprint" "WASHOUT" "ACB" 2.881356e-02 1.843422e-01 4.021792e-01 2.764326e-01 1.079903e-01 2.421308e-04
"blackprint" "FIBRE" "ACB" 2.447135e-01 7.909605e-03 5.559322e-01 8.627926e-02 1.050847e-01 8.071025e-05
"charcoal" "BASE" "ACB" 2.582728e-03 5.016949e-01 1.779661e-01 1.894270e-01 1.280872e-01 2.421307e-04
"charcoal" "HYPO" "ACB" 5.617433e-02 1.706215e-01 4.329298e-01 2.221953e-01 1.179177e-01 1.614205e-04
"charcoal" "WASHOUT" "ACB" 4.108152e-02 7.643261e-02 5.964487e-01 1.623890e-01 1.217918e-01 1.856336e-03
"charcoal" "FIBRE" "ACB" 1.541566e-02 7.933818e-02 8.494754e-01 3.083132e-02 2.469734e-02 2.421307e-04
"cybil" "BASE" "ACB" 2.744148e-03 4.740920e-01 2.845036e-01 1.484262e-01 8.974980e-02 4.842615e-04
"cybil" "HYPO" "ACB" 2.001614e-02 2.493140e-01 3.686844e-01 2.910412e-01 7.078289e-02 1.614206e-04
"cybil" "WASHOUT" "ACB" 2.276029e-02 1.456013e-01 2.981437e-01 4.187248e-01 1.142857e-01 4.842616e-04
"cybil" "FIBRE" "ACB" 1.380145e-02 1.973366e-01 3.435028e-01 3.535109e-02 4.089588e-01 1.049233e-03
